@id,@lon,@lat,name,cuisine,opening_hours,addr:street,smoking,amenity
3832475135,21.4427246,41.9922973,Лезет,,,,,restaurant
3832475147,21.4422139,41.9922032,Кај Злате,,,,,restaurant
3832555934,21.2494143,41.5453150,Меана Дедо Илија,,,,,restaurant
3908315435,21.2070709,42.3048465,Parku   Kaçanik,,,,,restaurant
3908954708,21.2945211,42.1552736,Ardi,,,,,restaurant
3908954715,21.2978100,42.1514298,Doner Besimi 92,,,,,fast_food
3908954719,21.2982016,42.1509339,Furra Edisoni,,,,,fast_food
3908954721,21.2984886,42.1501564,Oslo,,,Adem Jashari,,restaurant
3908954722,21.3000961,42.1491782,Shell,,,,,restaurant
3908954725,21.3023049,42.1455695,Lindi,,,,,restaurant
3908954726,21.3027217,42.1451824,Bleta,,,,,restaurant
3908954728,21.2962231,42.1517314,Bas Trade   Qebaptore,,,,,fast_food
3908954733,21.2957115,42.1499562,te Samia,,,,,restaurant
3909066219,21.4010837,42.0084895,бед бунар,,,,,restaurant
3921774262,20.8866832,42.0138371,casa leone,italian,,,,restaurant
3929016349,22.9751207,41.2960417,Evora,regional,,,,restaurant
3930911802,20.9750309,42.0077518,Restaurant Sirena,pizza,07:00- 24:00,Маршал Тито,isolated,restaurant
3932033588,21.4037096,42.0818924,Ribimiluss,pizza,,,,restaurant
3951819586,21.4093282,41.9748528,бимекс,regional,9:00-24:00,,no,restaurant
4004645106,21.4301301,41.9957324,Пекинг Гарден,chinese,Mo-Sa 11:00-24:00; Su 12:00-23:00,Максим Горки,,restaurant
4016557277,21.4667276,41.9856123,Campione lounge Bar,italian,Mo-Su 08:00-01:00,Boulevard Jane Sandanski,,restaurant
4016557278,21.4661426,41.9859376,DejaVu Lounge,french,Mo-Su 08:00-01:00,Boulevard Jane Sandanski,,restaurant
4089163074,22.7957274,41.2535134,Ψησταρια,,,,,restaurant
4090978365,22.7863734,41.2763164,To Patriko,,,,,restaurant
4101107990,21.4365756,41.9871974,Makedonska sofra,,Mo-Sa 08:00-01:00,Јужен Булевар,,restaurant
4110147399,21.4448873,42.1382444,Етно кујна Вила Елена,balkan,,,,restaurant
4126731457,21.4343571,41.9973371,Lounge Bar Divan,pizza,,,separated,pub
4126731965,21.4345770,41.9973163,Sky ресторанот,international,,,,restaurant
4129575569,22.8398802,41.2618621,H Gonia,pizza,,,,restaurant
4139219303,22.7607488,41.1780294,Basilis,,,,,restaurant
4139219313,22.7612154,41.1783337,o Pontos,,,,,restaurant
4142662213,21.5493109,41.3505012,СиС,,,,,fast_food
4142664989,21.5493787,41.3503370,Сникерс Грижо,,,,,fast_food
4149490289,21.4300742,41.9933026,Amigos Мексиканска Кантина,mexican,Mo-Th 08:00-24:00  Fr Sa 08:00-01:00  Su 10:00-24:00,Македонија,outside,restaurant
4154573189,20.9614188,41.9995695,Era,burger;sandwich;breakfast;ice_cream;tea;cake;coffee_shop;pasta;pizza;diner,Mo-Su 09:00-00:00,,,restaurant
4154574089,20.9611250,41.9976539,Restaurant Boss,burger;sandwich;ice_cream;grill;cake;coffee_shop;pasta;greek;balkan;pancake;pizza;fish_and_chips;diner;italian_pizza;fish;hot_dog;breakfast;tea;italian,24/7,,,restaurant
4178028054,20.6309157,42.3168879,Le Nar 2 pizzeria,,,,,restaurant
4187276689,21.4941048,41.9977923,Томи,,,,,fast_food
4190335990,20.9734955,41.8453568,Restaurant Oaza,,,,,restaurant
4190893589,21.4237032,42.0000584,Пемпеле,,,,,fast_food
4195733217,21.4338587,41.9955972,Соул кичен,international,,Кеј 13 Ноември,outside,restaurant
4204752237,22.6914572,42.2735871,Чешмето,,,,,restaurant
4204753734,22.8533205,42.2567766,Механа "Невестино",,,,,restaurant
4207781992,22.7040021,42.2789642,Хиената,diner,24/7,Стара планина,,restaurant
4210545272,21.2399553,42.2384167,Trofta,,,,,restaurant
